"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
0,30,100,30,0
0.02,30,100,30,0
0.04,30,100,30,0
0.06,30,100,30,0
0.08,30,100,30,0
0.1,30,100,30,0
0.12,30,100,30,0
0.14,30,100,30,0
0.16,30,100,30,0
0.18,30,100,30,0
0.2,30,100,30,0
0.22,30,100,30,0
0.24,30,100,30,0
0.26,30,100,30,0
0.28,30,100,30,0
0.3,30,100,30,0
0.32,30,100,30,0
0.34,30,100,30,0
0.36,30,100,30,0
0.38,30,100,30,0
0.4,30,100,30,0
0.42,30,100,30,0
0.44,30,100,30,0
0.46,30,100,30,0
0.48,30,100,30,0
0.5,30,100,30,0
0.52,30,100,30,0
0.54,30,100,30,0
0.56,30,100,30,0
0.58,30,100,30,0
0.6,30,100,30,0
0.62,30,100,30,0
0.64,30,100,30,0
0.66,30,100,30,0
0.68,30,100,30,0
0.7,30,100,30,0
0.72,30,100,30,0
0.74,30,100,30,0
0.76,30,100,30,0
0.78,30,100,30,0
0.8,30,100,30,0
0.82,30,100,30,0
0.84,30,100,30,0
0.86,30,100,30,0
0.88,30,100,30,0
0.9,30,100,30,0
0.92,30,100,30,0
0.94,30,100,30,0
0.96,30,100,30,0
0.98,30,100,30,0
1,30,100,30,0
1.02,30,100,30,0
1.04,30,100,30,0
1.06,30,100,30,0
1.08,30,100,30,0
1.1,30,100,30,0
1.12,30,100,30,0
1.14,30,100,30,0
1.16,30,100,30,0
1.18,30,100,30,0
1.2,30,100,30,0
1.22,30,100,30,0
1.24,30,100,30,0
1.26,30,100,30,0
1.28,30,100,30,0
1.3,30,100,30,0
1.32,30,100,30,0
1.34,30,100,30,0
1.36,30,100,30,0
1.38,30,100,30,0
1.4,30,100,30,0
1.42,30,100,30,0
1.44,30,100,30,0
1.46,30,100,30,0
1.48,30,100,30,0
1.5,30,100,30,0
1.52,30,100,30,0
1.54,30,100,30,0
1.56,30,100,30,0
1.58,30,100,30,0
1.6,30,100,30,0
1.62,30,100,30,0
1.64,30,100,30,0
1.66,30,100,30,0
1.68,30,100,30,0
1.7,30,100,30,0
1.72,30,100,30,0
1.74,30,100,30,0
1.76,30,100,30,0
1.78,30,100,30,0
1.8,30,100,30,0
1.82,30,100,30,0
1.84,30,100,30,0
1.86,30,100,30,0
1.88,30,100,30,0
1.9,30,100,30,0
1.92,30,100,30,0
1.94,30,100,30,0
1.96,30,100,30,0
1.98,30,100,30,0
2,30,100,30,0
2,30,100,30,0
2,30,100,30,0
2.000000002859884,30,100,30,-2.3684757858670006e-16
2.000000002859884,30,100,30,-2.3684757858670006e-16
2.02,29.99848360635377,99.78464509495375,29.99848360635377,-0.0021031089002873085
2.04,29.990622843269794,99.36565770699454,29.990622843269794,-0.006032736702966939
2.06,29.974626065956155,98.88871465886741,29.974626065956155,-0.010275746813928024
2.08,29.95037307891516,98.39527664024055,29.95037307891516,-0.014416851693475948
2.1,29.918190854682564,97.89714423610084,29.918190854682564,-0.018351630501962028
2.12,29.87850791293184,97.39767583263189,29.87850791293184,-0.022062854178101762
2.14,29.83175828650429,96.89782713509099,29.83175828650429,-0.025556996629390868
2.16,29.77835623745449,96.39787024030758,29.77835623745449,-0.028846292203388763
2.18,29.718690889356964,95.89788247711792,29.718690889356964,-0.03194374038062252
2.2,29.653126318117422,95.3978860738782,29.653126318117422,-0.034861770892681825
2.22,29.58200304615436,94.89788708715272,29.58200304615436,-0.037611953398577674
2.24,29.505639768862384,94.39788726099549,29.505639768862384,-0.040204977755324715
2.26,29.424335023200083,93.89788732497925,29.424335023200083,-0.042650711552760893
2.28,29.338368724029593,93.39788730083154,29.338368724029593,-0.04495827788474835
2.3,29.248003565405774,92.89788734731516,29.248003565405774,-0.047136118474830305
2.32,29.153486298289405,92.39788741540674,29.153486298289405,-0.04919206090804759
2.34,29.055048871607234,91.8978874541171,29.055048871607234,-0.051133372445431396
2.36,28.952909481435167,91.39788737132966,28.952909481435167,-0.052966810503779896
2.38,28.84727353390976,90.89788726477711,28.84727353390976,-0.05469866511376926
2.4,28.738334517123025,90.39788732878868,28.738334517123025,-0.05633479969139471
2.42,28.62627479699362,89.8978873509085,28.62627479699362,-0.0578806918983074
2.44,28.51126635268897,89.39788735583173,28.51126635268897,-0.05934145909235931
2.46,28.39347145072015,88.89788735670639,28.39347145072015,-0.06072188977316844
2.48,28.273043268443505,88.39788735154194,28.273043268443505,-0.062026469748244654
2.5,28.150126448590843,87.89788735251018,28.150126448590843,-0.0632594047522274
2.52,28.02485763413568,87.3978873593132,28.02485763413568,-0.06442464221986062
2.54,27.897365983149214,86.8978873567,27.897365983149214,-0.06552589148536023
2.56,27.767773592209085,86.39788735769905,27.767773592209085,-0.06656663987702587
2.58,27.636195905551908,85.89788736490388,27.636195905551908,-0.06755016871572088
2.6,27.50274212107524,85.39788736999583,27.50274212107524,-0.06847956839304646
2.62,27.367515551430735,84.89788736088038,27.367515551430735,-0.06935775151381579
2.64,27.230613974975682,84.3978873541371,27.230613974975682,-0.07018746512623432
2.66,27.09212991881457,83.89788735483263,27.09212991881457,-0.07097130119066371
2.68,26.952150972510534,83.39788735849281,26.952150972510534,-0.07171170742305528
2.7,26.810760053148414,82.897887359674,26.810760053148414,-0.07241099623426134
2.72,26.66803566836656,82.39788735808592,26.66803566836656,-0.07307135348001215
2.74,26.524052155192482,81.89788735663957,26.524052155192482,-0.0736948463516708
2.76,26.37887990577763,81.39788735696983,26.37887990577763,-0.07428343074784988
2.78,26.232585578076915,80.89788735805314,26.232585578076915,-0.07483895801341342
2.8,26.085232294769572,80.39788735835938,26.085232294769572,-0.07536318116883094
2.82,25.936879830435966,79.89788735777124,25.936879830435966,-0.07585776068545415
2.84,25.78758478868189,79.39788735734074,25.78758478868189,-0.07632426989996823
2.86,25.637400767552535,78.89788735756822,25.637400767552535,-0.07676420001098049
